,Activity,SoraRank,elapsedTime,Current,Drink,Eat,Exercise,Grooming,Pee,Poop,Sleep,Teeth Clean,TimeDiff_Pee,TimeDiff_Exercise,TimeDiff_Poop,TimeDiff_Sleep,TimeDiff_Drink,TimeDiff_Eat,TimeDiff_Grooming,TimeDiff_Teeth Clean,hour,DOW_Friday,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday
1613,Drink,3.6,0.38333333333333336,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,13.733333333333333,14.7,14.666666666666666,16.333333333333332,14.383333333333333,2.7666666666666666,167.21666666666667,0.0,11.0,0,0,0,0,1,0,0
1614,Pee,4.0,0.9166666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.816666666666666,15.616666666666667,15.583333333333334,17.25,15.3,3.683333333333333,168.13333333333333,0.0,11.916666666666666,0,0,0,0,1,0,0
1615,Drink,4.25,0.11666666666666667,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.933333333333334,15.733333333333333,15.7,17.366666666666667,1.0333333333333334,3.8,168.25,0.0,12.033333333333333,0,0,0,0,1,0,0
1616,Sleep,4.4,0.26666666666666666,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.2,16.0,15.966666666666667,2.85,1.3,4.066666666666666,168.51666666666668,0.0,12.3,0,0,0,0,1,0,0
1617,Sleep,4.4,1.3,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.5,17.3,17.266666666666666,1.3,2.6,5.366666666666666,169.81666666666666,0.0,13.6,0,0,0,0,1,0,0
1618,Eat,4.333333333333333,1.3833333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.883333333333334,18.683333333333334,18.65,2.683333333333333,3.9833333333333334,4.366666666666666,171.2,0.0,14.983333333333333,0,0,0,0,1,0,0
1619,Sleep,4.0,0.31666666666666665,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.2,19.0,18.966666666666665,1.7,4.3,4.683333333333334,171.51666666666668,0.0,15.3,0,0,0,0,1,0,0
1620,Exercise,4.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,8.933333333333334,20.766666666666666,3.5,6.1,6.483333333333333,173.31666666666666,0.0,17.1,0,0,0,0,1,0,0
1621,Eat,4.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.9,9.833333333333334,21.666666666666668,4.4,7.0,3.0166666666666666,174.21666666666667,0.0,18.0,0,0,0,0,1,0,0
1622,Exercise,3.6666666666666665,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.25,1.0666666666666667,21.833333333333332,4.566666666666666,7.166666666666667,3.183333333333333,174.38333333333333,0.0,18.166666666666668,0,0,0,0,1,0,0
1623,Pee,3.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.25,1.0666666666666667,21.833333333333332,4.566666666666666,7.166666666666667,3.183333333333333,174.38333333333333,0.0,18.166666666666668,0,0,0,0,1,0,0
1624,Drink,3.6,0.06666666666666667,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.316666666666666,0.06666666666666667,21.9,4.633333333333334,6.2,3.25,174.45,0.0,18.233333333333334,0,0,0,0,1,0,0
1625,Exercise,3.8333333333333335,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.316666666666666,0.06666666666666667,21.9,4.633333333333334,6.2,3.25,174.45,0.0,18.233333333333334,0,0,0,0,1,0,0
1626,Poop,3.8333333333333335,0.25,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,6.566666666666666,0.31666666666666665,10.4,4.883333333333334,6.45,3.5,174.7,0.0,18.483333333333334,0,0,0,0,1,0,0
1627,Eat,3.857142857142857,0.25,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,6.816666666666666,0.5666666666666667,10.65,5.133333333333334,6.7,0.7333333333333333,174.95,0.0,18.733333333333334,0,0,0,0,1,0,0
1628,Drink,3.75,0.03333333333333333,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,6.85,0.6,10.683333333333334,5.166666666666667,0.5333333333333333,0.7666666666666667,174.98333333333332,0.0,18.766666666666666,0,0,0,0,1,0,0
1629,Sleep,3.888888888888889,0.23333333333333334,0.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,7.083333333333333,0.8333333333333334,10.916666666666666,3.7,0.7666666666666667,1.0,175.21666666666667,0.0,19.0,0,0,0,0,1,0,0
